step,selected_job_id,selected_job_priority,selected_job_deadline,operation_id,machine_id,processing_time,material,action_probability,reward,current_time,makespan,total_available_jobs,highest_priority_available,priority_rank_selected,is_highest_priority_selected,setup_time,job_completed,available_jobs
1,J18,8,2880,OP1,M2,20,Racebike_Bremsaufnahme_gebohrt,0.1133999153971672,8.967048645019531,0.0,0,20,10,10,False,0,False,J6(P10); J4(P9); J5(P9); J20(P9); J1(P8); J7(P8); J12(P8); J16(P8); J17(P8); J18(P8); J3(P7); J10(P7); J13(P7); J9(P6); J11(P6); J8(P5); J14(P3); J15(P3); J19(P3); J2(P2)
2,J11,6,2880,OP1,M1,36,Mountainbike_Tretlageraufnahme_geschweisst,0.04334212839603424,7.748760223388672,20.0,20,20,10,15,False,0,False,J6(P10); J4(P9); J5(P9); J20(P9); J1(P8); J7(P8); J12(P8); J16(P8); J17(P8); J18(P8); J3(P7); J10(P7); J13(P7); J9(P6); J11(P6); J8(P5); J14(P3); J15(P3); J19(P3); J2(P2)
3,J9,6,2880,OP1,M2,16,Citybike_Tretlager_gefraest,0.053974270820617676,0.9117801189422607,56.0,56,20,10,14,False,25,False,J6(P10); J4(P9); J5(P9); J20(P9); J1(P8); J7(P8); J12(P8); J16(P8); J17(P8); J18(P8); J3(P7); J10(P7); J13(P7); J9(P6); J11(P6); J8(P5); J14(P3); J15(P3); J19(P3); J2(P2)
4,J18,8,2880,OP2,M3,43,Racebike_Rahmen_nachbearbeitet,0.1133384183049202,7.852537155151367,97.0,97,20,10,10,False,0,False,J6(P10); J4(P9); J5(P9); J20(P9); J1(P8); J7(P8); J12(P8); J16(P8); J17(P8); J18(P8); J3(P7); J10(P7); J13(P7); J9(P6); J11(P6); J8(P5); J14(P3); J15(P3); J19(P3); J2(P2)
5,J6,10,2806,OP1,M2,29,Racebike_Hinterbau_vorbereitet,0.034435685724020004,3.550163984298706,140.0,140,20,10,1,True,15,False,J6(P10); J4(P9); J5(P9); J20(P9); J1(P8); J7(P8); J12(P8); J16(P8); J17(P8); J18(P8); J3(P7); J10(P7); J13(P7); J9(P6); J11(P6); J8(P5); J14(P3); J15(P3); J19(P3); J2(P2)
6,J8,5,2857,OP1,M3,42,Mountainbike_Bremsen_justiert,0.0744226723909378,2.6846017837524414,184.0,184,20,10,16,False,13,False,J6(P10); J4(P9); J5(P9); J20(P9); J1(P8); J7(P8); J12(P8); J16(P8); J17(P8); J18(P8); J3(P7); J10(P7); J13(P7); J9(P6); J11(P6); J8(P5); J14(P3); J15(P3); J19(P3); J2(P2)
7,J12,8,2880,OP1,M2,11,Mountainbike_Rahmen_komplettiert,0.05655401945114136,0.07607245445251465,239.0,239,20,10,7,False,25,False,J6(P10); J4(P9); J5(P9); J20(P9); J1(P8); J7(P8); J12(P8); J16(P8); J17(P8); J18(P8); J3(P7); J10(P7); J13(P7); J9(P6); J11(P6); J8(P5); J14(P3); J15(P3); J19(P3); J2(P2)
8,J3,7,2785,OP1,M1,36,Racebike_Hauptrahmen_zugeschnitten,0.04017847403883934,-2.0634779930114746,275.0,275,20,10,11,False,35,False,J6(P10); J4(P9); J5(P9); J20(P9); J1(P8); J7(P8); J12(P8); J16(P8); J17(P8); J18(P8); J3(P7); J10(P7); J13(P7); J9(P6); J11(P6); J8(P5); J14(P3); J15(P3); J19(P3); J2(P2)
9,J18,8,2880,OP3,M1,42,Racebike_Antrieb_installiert,0.11337888985872269,-4.95490837097168,346.0,346,20,10,10,False,40,False,J6(P10); J4(P9); J5(P9); J20(P9); J1(P8); J7(P8); J12(P8); J16(P8); J17(P8); J18(P8); J3(P7); J10(P7); J13(P7); J9(P6); J11(P6); J8(P5); J14(P3); J15(P3); J19(P3); J2(P2)
10,J12,8,2880,OP2,M1,33,Mountainbike_Rahmen_nachbearbeitet,0.05656679347157478,-6.2112650871276855,428.0,428,20,10,7,False,38,False,J6(P10); J4(P9); J5(P9); J20(P9); J1(P8); J7(P8); J12(P8); J16(P8); J17(P8); J18(P8); J3(P7); J10(P7); J13(P7); J9(P6); J11(P6); J8(P5); J14(P3); J15(P3); J19(P3); J2(P2)
11,J6,10,2806,OP2,M1,43,Racebike_Fahrrad_endmontiert,0.034442175179719925,-7.427900314331055,499.0,499,20,10,1,True,35,False,J6(P10); J4(P9); J5(P9); J20(P9); J1(P8); J7(P8); J12(P8); J16(P8); J17(P8); J18(P8); J3(P7); J10(P7); J13(P7); J9(P6); J11(P6); J8(P5); J14(P3); J15(P3); J19(P3); J2(P2)
12,J8,5,2857,OP2,M3,60,Mountainbike_Hinterbau_vorbereitet,0.07443393766880035,-0.5088996887207031,577.0,577,20,10,16,False,15,False,J6(P10); J4(P9); J5(P9); J20(P9); J1(P8); J7(P8); J12(P8); J16(P8); J17(P8); J18(P8); J3(P7); J10(P7); J13(P7); J9(P6); J11(P6); J8(P5); J14(P3); J15(P3); J19(P3); J2(P2)
13,J14,3,2880,OP1,M2,24,Citybike_Hinterbau_vorbereitet,0.03194263577461243,3.4591479301452637,652.0,652,20,10,17,False,15,False,J6(P10); J4(P9); J5(P9); J20(P9); J1(P8); J7(P8); J12(P8); J16(P8); J17(P8); J18(P8); J3(P7); J10(P7); J13(P7); J9(P6); J11(P6); J8(P5); J14(P3); J15(P3); J19(P3); J2(P2)
14,J6,10,2806,OP3,M1,20,Racebike_Rahmen_lackiert,0.03443816304206848,-2.4606521129608154,691.0,691,20,10,1,True,40,False,J6(P10); J4(P9); J5(P9); J20(P9); J1(P8); J7(P8); J12(P8); J16(P8); J17(P8); J18(P8); J3(P7); J10(P7); J13(P7); J9(P6); J11(P6); J8(P5); J14(P3); J15(P3); J19(P3); J2(P2)
15,J1,8,2880,OP1,M3,52,Racebike_Antrieb_installiert,0.034570541232824326,3.0270984172821045,751.0,751,20,10,5,False,16,False,J6(P10); J4(P9); J5(P9); J20(P9); J1(P8); J7(P8); J12(P8); J16(P8); J17(P8); J18(P8); J3(P7); J10(P7); J13(P7); J9(P6); J11(P6); J8(P5); J14(P3); J15(P3); J19(P3); J2(P2)
16,J13,7,2880,OP1,M1,16,Citybike_Hinterbau_vorbereitet,0.035788875073194504,-4.80781364440918,819.0,819,20,10,13,False,43,False,J6(P10); J4(P9); J5(P9); J20(P9); J1(P8); J7(P8); J12(P8); J16(P8); J17(P8); J18(P8); J3(P7); J10(P7); J13(P7); J9(P6); J11(P6); J8(P5); J14(P3); J15(P3); J19(P3); J2(P2)
17,J16,8,2239,OP1,M1,17,Mountainbike_Schaltauge_bearbeitet,0.11090090125799179,-4.869624137878418,878.0,878,20,10,8,False,40,False,J6(P10); J4(P9); J5(P9); J20(P9); J1(P8); J7(P8); J12(P8); J16(P8); J17(P8); J18(P8); J3(P7); J10(P7); J13(P7); J9(P6); J11(P6); J8(P5); J14(P3); J15(P3); J19(P3); J2(P2)
18,J6,10,2806,OP4,M1,16,Racebike_Rahmen_komplettiert,0.03443887084722519,-4.976130962371826,935.0,935,20,10,1,True,35,False,J6(P10); J4(P9); J5(P9); J20(P9); J1(P8); J7(P8); J12(P8); J16(P8); J17(P8); J18(P8); J3(P7); J10(P7); J13(P7); J9(P6); J11(P6); J8(P5); J14(P3); J15(P3); J19(P3); J2(P2)
19,J19,3,2832,OP1,M2,17,Mountainbike_Tretlager_gefraest,0.03991091623902321,1.0927488803863525,986.0,986,20,10,19,False,20,False,J6(P10); J4(P9); J5(P9); J20(P9); J1(P8); J7(P8); J12(P8); J16(P8); J17(P8); J18(P8); J3(P7); J10(P7); J13(P7); J9(P6); J11(P6); J8(P5); J14(P3); J15(P3); J19(P3); J2(P2)
20,J7,8,2880,OP1,M3,24,E-Bike_Rahmen_komplettiert,0.04198114573955536,1.5842037200927734,1023.0,1023,20,10,6,False,25,False,J6(P10); J4(P9); J5(P9); J20(P9); J1(P8); J7(P8); J12(P8); J16(P8); J17(P8); J18(P8); J3(P7); J10(P7); J13(P7); J9(P6); J11(P6); J8(P5); J14(P3); J15(P3); J19(P3); J2(P2)
