episode,step,job_idx,completion_time,deadline_met
1,31,8,1625.0,False
1,55,7,2862.0,False
1,56,4,2905.0,False
1,59,9,3033.0,False
1,64,15,3297.0,False
1,79,2,3960.0,False
1,81,14,4056.0,False
1,83,6,4134.0,False
1,84,13,4208.0,False
1,93,16,4711.0,False
1,94,3,4770.0,False
1,96,1,4856.0,False
1,106,19,5319.0,False
1,108,17,5410.0,False
1,116,5,5812.0,False
1,117,12,5874.0,False
1,118,0,5918.0,False
1,120,18,6019.0,False
1,121,10,6056.0,False
1,123,11,6134.0,False
2,8,12,395.0,False
2,34,5,1804.0,False
2,38,11,1982.0,False
2,60,3,3064.0,False
2,64,7,3255.0,False
2,67,6,3389.0,False
2,79,10,3955.0,False
2,82,13,4095.0,False
2,89,9,4483.0,False
2,90,4,4526.0,False
2,96,0,4859.0,False
2,98,2,4945.0,False
2,99,15,4981.0,False
2,101,8,5077.0,False
2,102,1,5121.0,False
2,114,14,5711.0,False
2,115,19,5746.0,False
2,117,17,5854.0,False
2,119,18,5978.0,False
2,123,16,6174.0,False
3,13,14,683.0,False
3,19,16,1023.0,False
3,63,0,3268.0,False
3,64,5,3311.0,False
3,65,19,3346.0,False
3,74,13,3767.0,False
3,76,10,3849.0,False
3,85,8,4319.0,False
3,88,6,4441.0,False
3,95,11,4746.0,False
3,98,17,4879.0,False
3,100,12,5010.0,False
3,106,9,5321.0,False
3,111,3,5566.0,False
3,114,2,5696.0,False
3,115,7,5732.0,False
3,116,4,5775.0,False
3,121,15,6009.0,False
3,122,18,6065.0,False
3,123,1,6109.0,False
4,20,4,1120.0,False
4,43,14,2281.0,False
4,71,6,3656.0,False
4,79,1,4020.0,False
4,86,11,4342.0,False
4,88,12,4448.0,False
4,91,17,4606.0,False
4,92,5,4649.0,False
4,96,3,4892.0,False
4,100,8,5065.0,False
4,101,13,5134.0,False
4,104,15,5243.0,False
4,106,0,5339.0,False
4,109,7,5450.0,False
4,110,16,5485.0,False
4,115,10,5760.0,False
4,116,18,5821.0,False
4,120,2,6035.0,False
4,122,9,6119.0,False
4,123,19,6154.0,False
5,28,2,1458.0,False
5,54,3,2669.0,False
5,59,11,2901.0,False
5,62,13,3077.0,False
5,69,7,3416.0,False
5,72,16,3528.0,False
5,80,4,3944.0,False
5,82,1,4024.0,False
5,84,10,4103.0,False
5,93,5,4567.0,False
5,97,19,4766.0,False
5,99,0,4862.0,False
5,106,8,5258.0,False
5,107,6,5296.0,False
5,110,14,5440.0,False
5,116,18,5747.0,False
5,117,9,5801.0,False
5,119,17,5928.0,False
5,120,12,5990.0,False
5,123,15,6099.0,False
6,16,12,860.0,False
6,38,15,1969.0,False
6,47,9,2401.0,False
6,62,6,3145.0,False
6,79,19,3950.0,False
6,92,10,4610.0,False
6,96,14,4832.0,False
6,97,11,4875.0,False
6,98,8,4934.0,False
6,101,2,5054.0,False
6,102,4,5097.0,False
6,106,3,5292.0,False
6,109,5,5413.0,False
6,110,17,5465.0,False
6,111,1,5509.0,False
6,113,16,5580.0,False
6,114,7,5616.0,False
6,116,13,5727.0,False
6,120,18,5969.0,False
6,123,0,6129.0,False
7,24,18,1267.0,False
7,31,0,1645.0,False
7,46,1,2456.0,False
7,59,19,3079.0,False
7,73,8,3710.0,False
7,74,17,3757.0,False
7,78,9,3950.0,False
7,80,6,4030.0,False
7,82,12,4136.0,False
7,87,14,4422.0,False
7,94,15,4784.0,False
7,98,4,4961.0,False
7,102,2,5166.0,False
7,110,7,5522.0,False
7,113,3,5669.0,False
7,118,13,5931.0,False
7,120,16,5996.0,False
7,121,5,6039.0,False
7,122,10,6076.0,False
7,123,11,6119.0,False
8,10,3,475.0,False
8,34,13,1787.0,False
8,68,16,3479.0,False
8,70,0,3565.0,False
8,81,5,4109.0,False
8,89,15,4470.0,False
8,90,7,4506.0,False
8,95,18,4797.0,False
8,100,4,5003.0,False
8,102,2,5106.0,False
8,108,9,5436.0,False
8,110,14,5532.0,False
8,111,12,5594.0,False
8,114,8,5727.0,False
8,115,17,5774.0,False
8,116,1,5818.0,False
8,118,6,5929.0,False
8,119,10,5966.0,False
8,120,19,6001.0,False
8,123,11,6119.0,False
9,46,9,2373.0,False
9,64,14,3267.0,False
9,65,11,3310.0,False
9,66,5,3353.0,False
9,67,6,3386.0,False
9,70,13,3543.0,False
9,73,3,3685.0,False
9,76,16,3820.0,False
9,97,0,4905.0,False
9,98,4,4948.0,False
9,103,18,5220.0,False
9,105,1,5303.0,False
9,107,7,5383.0,False
9,109,8,5484.0,False
9,110,19,5519.0,False
9,111,12,5581.0,False
9,113,2,5681.0,False
9,114,15,5717.0,False
9,118,17,5886.0,False
9,123,10,6089.0,False
10,14,10,650.0,False
10,47,13,2304.0,False
10,51,0,2508.0,False
10,54,1,2666.0,False
10,55,12,2723.0,False
10,66,6,3286.0,False
10,74,9,3714.0,False
10,96,7,4731.0,False
10,98,3,4853.0,False
10,99,18,4909.0,False
10,100,11,4952.0,False
10,108,8,5357.0,False
10,110,2,5444.0,False
10,111,4,5487.0,False
10,112,16,5522.0,False
10,114,14,5614.0,False
10,115,19,5649.0,False
10,117,17,5762.0,False
10,119,5,5845.0,False
10,123,15,6029.0,False
