episode,total_reward,steps,makespan,completed_jobs,fully_completed_jobs,met_deadlines,deadline_ratio,avg_machine_util,machine_util_std
1,-6186.8932813262045,134,6267.0,20,20,0,0.0,0.9825009,0.013303339
2,-4117.267980600005,134,6247.0,20,20,0,0.0,0.91286486,0.1123177
3,-5300.187212207622,134,6262.0,20,20,0,0.0,0.8925263,0.12879533
4,-5041.30881992215,134,6272.0,20,20,0,0.0,0.8975872,0.116142526
5,-9032.850264786677,134,6307.0,20,20,0,0.0,0.8409175,0.20653658
6,-3893.7688460588897,134,6312.0,20,20,0,0.0,0.9246937,0.09359182
7,-6377.754300592541,134,6277.0,20,20,0,0.0,0.89129627,0.13036819
8,-4529.668850848569,134,6242.0,20,20,0,0.0,0.95642424,0.05605682
9,-12090.16287073684,134,6277.0,20,20,0,0.0,0.803781,0.2549696
10,-6521.019921723151,134,6317.0,20,20,0,0.0,0.88807976,0.14516245
