episode,step,machine_idx,old_material,new_material,setup_time
1,3,2,Racebike_Schaltauge_bearbeitet,Racebike_Schaltauge_bearbeitet,18
1,5,2,Citybike_Fahrrad_endmontiert,Citybike_Fahrrad_endmontiert,15
1,6,2,Racebike_Antrieb_installiert,Racebike_Antrieb_installiert,13
1,7,2,E-Bike_Bremsen_justiert,E-Bike_Bremsen_justiert,18
1,8,2,Racebike_Tretlager_gefraest,Racebike_Tretlager_gefraest,18
1,9,1,Citybike_Hinterbau_vorbereitet,Citybike_Hinterbau_vorbereitet,21
1,10,0,Racebike_Steuerrohr_ausgerieben,Racebike_Steuerrohr_ausgerieben,58
1,11,0,Mountainbike_Hauptrahmen_zugeschnitten,Mountainbike_Hauptrahmen_zugeschnitten,46
1,12,2,Racebike_Hauptrahmen_zugeschnitten,Racebike_Hauptrahmen_zugeschnitten,15
1,13,1,E-Bike_Antrieb_installiert,E-Bike_Antrieb_installiert,23
1,14,1,Racebike_Rahmen_nachbearbeitet,Racebike_Rahmen_nachbearbeitet,26
1,15,0,Mountainbike_Steuerrohr_montiert,Mountainbike_Steuerrohr_montiert,40
1,16,2,Mountainbike_Schaltauge_bearbeitet,Mountainbike_Schaltauge_bearbeitet,15
1,17,0,Racebike_Schaltauge_bearbeitet,Racebike_Schaltauge_bearbeitet,44
1,18,1,Citybike_Tretlageraufnahme_geschweisst,Citybike_Tretlageraufnahme_geschweisst,21
1,19,0,E-Bike_Hauptrahmen_zugeschnitten,E-Bike_Hauptrahmen_zugeschnitten,47
1,20,0,Racebike_Fahrrad_endmontiert,Racebike_Fahrrad_endmontiert,58
1,21,0,Citybike_Antrieb_installiert,Citybike_Antrieb_installiert,38
1,22,0,E-Bike_Fahrrad_endmontiert,E-Bike_Fahrrad_endmontiert,50
1,23,2,Citybike_Bremsen_justiert,Citybike_Bremsen_justiert,11
1,24,2,Racebike_Steuerrohr_montiert,Racebike_Steuerrohr_montiert,13
1,25,1,Racebike_Steuerrohr_montiert,Racebike_Steuerrohr_montiert,15
1,26,0,Citybike_Hauptrahmen_zugeschnitten,Citybike_Hauptrahmen_zugeschnitten,42
1,27,0,E-Bike_Rahmen_lackiert,E-Bike_Rahmen_lackiert,50
1,28,2,Racebike_Tretlager_gefraest,Racebike_Tretlager_gefraest,15
1,29,1,Racebike_Rahmen_komplettiert,Racebike_Rahmen_komplettiert,20
1,30,2,E-Bike_Laufraeder_montiert,E-Bike_Laufraeder_montiert,18
1,31,0,Racebike_Hinterbau_vorbereitet,Racebike_Hinterbau_vorbereitet,58
1,32,2,Racebike_Rahmen_nachbearbeitet,Racebike_Rahmen_nachbearbeitet,18
1,33,0,Citybike_Fahrrad_endmontiert,Citybike_Fahrrad_endmontiert,38
1,34,0,Racebike_Hauptrahmen_zugeschnitten,Racebike_Hauptrahmen_zugeschnitten,37
1,35,1,Racebike_Steuerrohr_ausgerieben,Racebike_Steuerrohr_ausgerieben,20
1,36,2,Racebike_Laufraeder_montiert,Racebike_Laufraeder_montiert,15
1,37,0,Racebike_Tretlager_gefraest,Racebike_Tretlager_gefraest,40
1,38,2,E-Bike_Tretlager_gefraest,E-Bike_Tretlager_gefraest,18
1,39,2,E-Bike_Tretlageraufnahme_geschweisst,E-Bike_Tretlageraufnahme_geschweisst,15
1,40,0,E-Bike_Schaltauge_bearbeitet,E-Bike_Schaltauge_bearbeitet,47
1,41,1,Mountainbike_Bremsen_justiert,Mountainbike_Bremsen_justiert,22
1,42,0,Racebike_Rahmen_komplettiert,Racebike_Rahmen_komplettiert,58
1,43,2,E-Bike_Steuerrohr_ausgerieben,E-Bike_Steuerrohr_ausgerieben,15
1,44,0,Racebike_Steuerrohr_ausgerieben,Racebike_Steuerrohr_ausgerieben,40
1,45,2,Citybike_Steuerrohr_montiert,Citybike_Steuerrohr_montiert,21
1,46,0,Mountainbike_Antrieb_installiert,Mountainbike_Antrieb_installiert,46
1,47,0,Racebike_Hauptrahmen_zugeschnitten,Racebike_Hauptrahmen_zugeschnitten,44
1,48,2,Mountainbike_Rahmen_nachbearbeitet,Mountainbike_Rahmen_nachbearbeitet,13
1,49,1,E-Bike_Hinterbau_vorbereitet,E-Bike_Hinterbau_vorbereitet,30
1,50,2,Racebike_Rahmen_lackiert,Racebike_Rahmen_lackiert,12
1,51,0,Racebike_Schaltauge_bearbeitet,Racebike_Schaltauge_bearbeitet,40
1,52,0,Mountainbike_Bremsen_justiert,Mountainbike_Bremsen_justiert,46
1,53,2,Racebike_Fahrrad_endmontiert,Racebike_Fahrrad_endmontiert,15
1,54,2,Racebike_Bremsen_justiert,Racebike_Bremsen_justiert,15
1,55,0,Racebike_Hinterbau_vorbereitet,Racebike_Hinterbau_vorbereitet,44
1,56,2,Racebike_Hauptrahmen_zugeschnitten,Racebike_Hauptrahmen_zugeschnitten,15
1,57,0,E-Bike_Laufraeder_montiert,E-Bike_Laufraeder_montiert,47
1,58,2,Mountainbike_Hinterbau_vorbereitet,Mountainbike_Hinterbau_vorbereitet,15
1,59,0,Mountainbike_Tretlageraufnahme_geschweisst,Mountainbike_Tretlageraufnahme_geschweisst,52
1,60,2,E-Bike_Rahmen_lackiert,E-Bike_Rahmen_lackiert,17
1,61,2,E-Bike_Bremsaufnahme_gebohrt,E-Bike_Bremsaufnahme_gebohrt,15
1,62,1,E-Bike_Rahmen_lackiert,E-Bike_Rahmen_lackiert,20
1,63,2,E-Bike_Steuerrohr_montiert,E-Bike_Steuerrohr_montiert,15
1,64,2,E-Bike_Tretlageraufnahme_geschweisst,E-Bike_Tretlageraufnahme_geschweisst,15
1,65,0,E-Bike_Fahrrad_endmontiert,E-Bike_Fahrrad_endmontiert,56
1,66,1,Mountainbike_Schaltauge_bearbeitet,Mountainbike_Schaltauge_bearbeitet,21
1,67,1,E-Bike_Hauptrahmen_zugeschnitten,E-Bike_Hauptrahmen_zugeschnitten,30
1,68,0,E-Bike_Hinterbau_vorbereitet,E-Bike_Hinterbau_vorbereitet,40
1,69,2,Mountainbike_Rahmen_komplettiert,Mountainbike_Rahmen_komplettiert,24
1,70,2,Mountainbike_Tretlager_gefraest,Mountainbike_Tretlager_gefraest,15
1,71,0,E-Bike_Hinterbau_vorbereitet,E-Bike_Hinterbau_vorbereitet,25
1,72,2,Racebike_Steuerrohr_montiert,Racebike_Steuerrohr_montiert,12
1,73,0,E-Bike_Rahmen_komplettiert,E-Bike_Rahmen_komplettiert,40
1,74,1,E-Bike_Rahmen_nachbearbeitet,E-Bike_Rahmen_nachbearbeitet,20
1,75,2,E-Bike_Tretlager_gefraest,E-Bike_Tretlager_gefraest,18
1,76,2,E-Bike_Hauptrahmen_zugeschnitten,E-Bike_Hauptrahmen_zugeschnitten,15
1,77,2,Citybike_Hinterbau_vorbereitet,Citybike_Hinterbau_vorbereitet,21
1,78,2,E-Bike_Bremsen_justiert,E-Bike_Bremsen_justiert,21
1,79,1,Mountainbike_Steuerrohr_ausgerieben,Mountainbike_Steuerrohr_ausgerieben,21
1,80,0,E-Bike_Antrieb_installiert,E-Bike_Antrieb_installiert,40
1,81,2,Citybike_Bremsen_justiert,Citybike_Bremsen_justiert,21
1,82,1,Mountainbike_Steuerrohr_montiert,Mountainbike_Steuerrohr_montiert,20
1,83,0,Mountainbike_Laufraeder_montiert,Mountainbike_Laufraeder_montiert,52
1,84,0,E-Bike_Bremsaufnahme_gebohrt,E-Bike_Bremsaufnahme_gebohrt,56
1,85,2,Mountainbike_Hinterbau_vorbereitet,Mountainbike_Hinterbau_vorbereitet,13
1,86,1,E-Bike_Steuerrohr_ausgerieben,E-Bike_Steuerrohr_ausgerieben,30
1,87,1,E-Bike_Antrieb_installiert,E-Bike_Antrieb_installiert,20
1,88,0,Mountainbike_Hauptrahmen_zugeschnitten,Mountainbike_Hauptrahmen_zugeschnitten,52
1,89,0,Mountainbike_Bremsen_justiert,Mountainbike_Bremsen_justiert,40
1,90,1,Mountainbike_Fahrrad_endmontiert,Mountainbike_Fahrrad_endmontiert,21
1,91,0,E-Bike_Laufraeder_montiert,E-Bike_Laufraeder_montiert,56
1,92,0,E-Bike_Bremsen_justiert,E-Bike_Bremsen_justiert,40
1,93,0,E-Bike_Tretlager_gefraest,E-Bike_Tretlager_gefraest,40
1,94,0,Racebike_Antrieb_installiert,Racebike_Antrieb_installiert,58
1,95,2,E-Bike_Tretlager_gefraest,E-Bike_Tretlager_gefraest,17
1,96,2,E-Bike_Rahmen_komplettiert,E-Bike_Rahmen_komplettiert,15
1,97,2,Mountainbike_Steuerrohr_ausgerieben,Mountainbike_Steuerrohr_ausgerieben,24
1,98,1,Mountainbike_Steuerrohr_montiert,Mountainbike_Steuerrohr_montiert,20
1,99,0,Racebike_Tretlageraufnahme_geschweisst,Racebike_Tretlageraufnahme_geschweisst,40
1,100,0,Racebike_Schaltauge_bearbeitet,Racebike_Schaltauge_bearbeitet,40
1,101,2,E-Bike_Steuerrohr_montiert,E-Bike_Steuerrohr_montiert,17
1,102,0,Racebike_Laufraeder_montiert,Racebike_Laufraeder_montiert,40
1,103,2,Citybike_Hinterbau_vorbereitet,Citybike_Hinterbau_vorbereitet,21
1,104,2,Mountainbike_Tretlager_gefraest,Mountainbike_Tretlager_gefraest,13
1,105,1,Racebike_Hauptrahmen_zugeschnitten,Racebike_Hauptrahmen_zugeschnitten,24
1,106,0,Mountainbike_Fahrrad_endmontiert,Mountainbike_Fahrrad_endmontiert,46
1,107,2,E-Bike_Fahrrad_endmontiert,E-Bike_Fahrrad_endmontiert,17
1,108,0,Citybike_Tretlager_gefraest,Citybike_Tretlager_gefraest,43
1,109,1,Racebike_Steuerrohr_ausgerieben,Racebike_Steuerrohr_ausgerieben,20
1,110,0,E-Bike_Steuerrohr_montiert,E-Bike_Steuerrohr_montiert,50
1,111,2,Citybike_Rahmen_nachbearbeitet,Citybike_Rahmen_nachbearbeitet,21
1,112,1,Mountainbike_Fahrrad_endmontiert,Mountainbike_Fahrrad_endmontiert,22
1,113,1,Racebike_Bremsaufnahme_gebohrt,Racebike_Bremsaufnahme_gebohrt,24
1,114,2,Mountainbike_Hauptrahmen_zugeschnitten,Mountainbike_Hauptrahmen_zugeschnitten,13
1,115,0,Mountainbike_Bremsen_justiert,Mountainbike_Bremsen_justiert,52
1,116,1,Racebike_Steuerrohr_montiert,Racebike_Steuerrohr_montiert,20
1,117,1,Racebike_Steuerrohr_montiert,Racebike_Steuerrohr_montiert,15
1,118,1,Mountainbike_Rahmen_lackiert,Mountainbike_Rahmen_lackiert,22
1,119,0,E-Bike_Hinterbau_vorbereitet,E-Bike_Hinterbau_vorbereitet,56
1,120,2,Mountainbike_Bremsen_justiert,Mountainbike_Bremsen_justiert,15
1,121,0,Racebike_Hinterbau_vorbereitet,Racebike_Hinterbau_vorbereitet,58
1,122,1,Racebike_Tretlageraufnahme_geschweisst,Racebike_Tretlageraufnahme_geschweisst,24
1,123,1,Mountainbike_Hinterbau_vorbereitet,Mountainbike_Hinterbau_vorbereitet,22
1,124,1,Racebike_Tretlager_gefraest,Racebike_Tretlager_gefraest,24
1,125,2,Mountainbike_Rahmen_nachbearbeitet,Mountainbike_Rahmen_nachbearbeitet,15
1,126,0,Mountainbike_Rahmen_nachbearbeitet,Mountainbike_Rahmen_nachbearbeitet,46
1,127,1,E-Bike_Tretlager_gefraest,E-Bike_Tretlager_gefraest,24
1,128,1,Mountainbike_Bremsaufnahme_gebohrt,Mountainbike_Bremsaufnahme_gebohrt,21
1,129,2,Mountainbike_Antrieb_installiert,Mountainbike_Antrieb_installiert,15
1,130,2,Citybike_Fahrrad_endmontiert,Citybike_Fahrrad_endmontiert,11
1,131,0,Racebike_Steuerrohr_ausgerieben,Racebike_Steuerrohr_ausgerieben,44
1,132,1,Citybike_Tretlager_gefraest,Citybike_Tretlager_gefraest,15
1,133,0,E-Bike_Rahmen_nachbearbeitet,E-Bike_Rahmen_nachbearbeitet,47
1,134,1,E-Bike_Rahmen_komplettiert,E-Bike_Rahmen_komplettiert,23
1,135,1,Mountainbike_Tretlager_gefraest,Mountainbike_Tretlager_gefraest,21
