episode,step,machine_idx,machine_time,current_time,utilization
1,1,0,38,38.0,1.0
1,1,1,0,38.0,0.0
1,1,2,0,38.0,0.0
1,2,0,104,104.0,1.0
1,2,1,0,104.0,0.0
1,2,2,0,104.0,0.0
1,3,0,180,180.0,1.0
1,3,1,0,180.0,0.0
1,3,2,0,180.0,0.0
1,4,0,239,239.0,1.0
1,4,1,0,239.0,0.0
1,4,2,0,239.0,0.0
1,5,0,304,304.0,1.0
1,5,1,0,304.0,0.0
1,5,2,0,304.0,0.0
1,6,0,359,359.0,1.0
1,6,1,0,359.0,0.0
1,6,2,0,359.0,0.0
1,7,0,435,435.0,1.0
1,7,1,0,435.0,0.0
1,7,2,0,435.0,0.0
1,8,0,435,448.0,0.9709821428571429
1,8,1,448,448.0,1.0
1,8,2,0,448.0,0.0
1,9,0,528,528.0,1.0
1,9,1,448,528.0,0.8484848484848485
1,9,2,0,528.0,0.0
1,10,0,528,559.0,0.9445438282647585
1,10,1,559,559.0,1.0
1,10,2,0,559.0,0.0
1,11,0,528,613.0,0.8613376835236541
1,11,1,559,613.0,0.9119086460032626
1,11,2,613,613.0,1.0
1,12,0,528,648.0,0.8148148148148148
1,12,1,648,648.0,1.0
1,12,2,613,648.0,0.9459876543209876
1,13,0,528,693.0,0.7619047619047619
1,13,1,648,693.0,0.935064935064935
1,13,2,693,693.0,1.0
1,14,0,528,743.0,0.7106325706594886
1,14,1,743,743.0,1.0
1,14,2,693,743.0,0.9327052489905787
1,15,0,824,824.0,1.0
1,15,1,743,824.0,0.9016990291262136
1,15,2,693,824.0,0.8410194174757282
1,16,0,824,859.0,0.959254947613504
1,16,1,859,859.0,1.0
1,16,2,693,859.0,0.8067520372526193
1,17,0,824,896.0,0.9196428571428571
1,17,1,859,896.0,0.9587053571428571
1,17,2,896,896.0,1.0
1,18,0,955,955.0,1.0
1,18,1,859,955.0,0.8994764397905759
1,18,2,896,955.0,0.9382198952879581
1,19,0,955,988.0,0.9665991902834008
1,19,1,988,988.0,1.0
1,19,2,896,988.0,0.9068825910931174
1,20,0,955,1031.0,0.9262851600387972
1,20,1,1031,1031.0,1.0
1,20,2,896,1031.0,0.8690591658583899
1,21,0,955,1068.0,0.8941947565543071
1,21,1,1068,1068.0,1.0
1,21,2,896,1068.0,0.8389513108614233
1,22,0,955,1113.0,0.8580413297394429
1,22,1,1113,1113.0,1.0
1,22,2,896,1113.0,0.8050314465408805
1,23,0,955,1154.0,0.8275563258232236
1,23,1,1154,1154.0,1.0
1,23,2,896,1154.0,0.7764298093587522
1,24,0,1210,1210.0,1.0
1,24,1,1154,1210.0,0.9537190082644628
1,24,2,896,1210.0,0.740495867768595
1,25,0,1210,1253.0,0.965682362330407
1,25,1,1253,1253.0,1.0
1,25,2,896,1253.0,0.7150837988826816
1,26,0,1309,1309.0,1.0
1,26,1,1253,1309.0,0.9572192513368984
1,26,2,896,1309.0,0.6844919786096256
1,27,0,1389,1389.0,1.0
1,27,1,1253,1389.0,0.9020878329733621
1,27,2,896,1389.0,0.6450683945284377
1,28,0,1389,1432.0,0.9699720670391061
1,28,1,1432,1432.0,1.0
1,28,2,896,1432.0,0.6256983240223464
1,29,0,1492,1492.0,1.0
1,29,1,1432,1492.0,0.9597855227882037
1,29,2,896,1492.0,0.6005361930294906
1,30,0,1492,1532.0,0.9738903394255874
1,30,1,1532,1532.0,1.0
1,30,2,896,1532.0,0.5848563968668408
1,31,0,1492,1577.0,0.9461001902346227
1,31,1,1577,1577.0,1.0
1,31,2,896,1577.0,0.5681674064679771
1,32,0,1492,1611.0,0.9261328367473619
1,32,1,1611,1611.0,1.0
1,32,2,896,1611.0,0.5561762880198634
1,33,0,1685,1685.0,1.0
1,33,1,1611,1685.0,0.9560830860534124
1,33,2,896,1685.0,0.5317507418397626
1,34,0,1685,1754.0,0.9606613454960091
1,34,1,1611,1754.0,0.9184720638540479
