heuristic,run,makespan,total_reward,deadline_ratio,completed_jobs,met_deadlines,total_tardiness,weighted_tardiness,machine_utilization,timeliness_score,steps,actions
PPO-GNN (Dein Modell),1,6805,-852.175884872095,0.0,20,0,79751.0,534818.0,0.9728631,-1.4267606,123,"[8, 8, 8, 13, 6, 3, 9, 0, 6, 19, 0, 18, 15, 8, 12, 0, 12, 7, 18, 18, 19, 5, 9, 16, 2, 13, 6, 3, 4, 16, 8, 5, 9, 18, 16, 0, 6, 4, 5, 15, 15, 12, 9, 6, 11, 6, 0, 13, 16, 11, 12, 11, 18, 2, 19, 4, 19, 0, 2, 2, 16, 13, 15, 3, 15, 4, 4, 17, 10, 13, 7, 12, 1, 13, 13, 11, 5, 11, 5, 12, 1, 14, 11, 7, 16, 5, 5, 19, 14, 4, 14, 1, 1, 5, 7, 2, 11, 16, 2, 11, 17, 14, 2, 10, 16, 18, 1, 3, 17, 14, 7, 3, 10, 14, 3, 3, 17, 9, 3, 17, 10, 10, 10]"
PPO-GNN (Dein Modell),2,6921,-1164.0960342817848,0.0,20,0,82071.0,550362.0,0.97365505,-1.4681281,123,"[0, 16, 2, 6, 7, 8, 1, 6, 19, 11, 5, 18, 8, 13, 6, 19, 0, 12, 10, 6, 1, 15, 18, 2, 5, 4, 4, 6, 13, 15, 3, 7, 4, 14, 11, 15, 8, 9, 2, 10, 2, 14, 10, 2, 19, 7, 19, 8, 16, 19, 12, 13, 8, 15, 17, 5, 6, 13, 3, 11, 5, 7, 5, 10, 2, 17, 11, 16, 18, 15, 5, 3, 0, 5, 16, 18, 0, 13, 9, 13, 0, 12, 1, 18, 18, 17, 13, 11, 1, 12, 14, 16, 4, 5, 0, 7, 14, 16, 12, 14, 1, 2, 11, 17, 9, 12, 9, 16, 11, 4, 14, 11, 3, 4, 17, 10, 3, 3, 9, 3, 16, 3, 10]"
PPO-GNN (Dein Modell),3,6893,-900.8329997259676,0.0,20,0,81511.0,546610.0,0.9785773,-1.4581426,123,"[5, 8, 17, 7, 5, 6, 19, 16, 6, 18, 2, 11, 9, 18, 1, 18, 19, 7, 18, 0, 12, 19, 5, 15, 15, 18, 5, 0, 0, 3, 8, 19, 5, 4, 5, 7, 5, 5, 18, 8, 1, 17, 0, 12, 6, 15, 13, 3, 0, 6, 12, 1, 11, 16, 2, 8, 11, 15, 3, 8, 15, 1, 4, 11, 9, 3, 0, 7, 16, 7, 1, 2, 19, 13, 2, 12, 2, 6, 2, 6, 16, 16, 2, 9, 12, 9, 14, 17, 11, 16, 3, 3, 16, 11, 16, 3, 3, 9, 14, 17, 4, 13, 11, 4, 4, 11, 12, 4, 14, 14, 10, 14, 14, 13, 17, 13, 13, 10, 10, 13, 10, 10, 10]"
PPO-GNN (Dein Modell),4,6834,-940.1611874562261,0.0,20,0,80331.0,538704.0,0.99326897,-1.4371024,123,"[2, 8, 13, 5, 16, 8, 5, 7, 15, 6, 1, 12, 8, 11, 7, 6, 5, 6, 6, 8, 6, 0, 5, 15, 8, 6, 12, 3, 16, 1, 2, 12, 3, 15, 17, 18, 16, 12, 9, 1, 0, 7, 16, 5, 15, 0, 1, 3, 15, 14, 17, 7, 2, 11, 0, 16, 5, 3, 10, 7, 11, 16, 0, 4, 1, 12, 11, 0, 3, 12, 16, 10, 11, 17, 9, 5, 2, 3, 2, 18, 5, 13, 18, 17, 13, 19, 10, 3, 11, 11, 4, 16, 9, 4, 18, 11, 10, 17, 19, 10, 14, 9, 13, 9, 3, 18, 10, 2, 13, 4, 19, 18, 14, 4, 4, 19, 2, 14, 13, 14, 13, 19, 14]"
PPO-GNN (Dein Modell),5,6881,-991.3476424654637,0.0,20,0,81271.0,545002.0,0.9800901,-1.4538635,123,"[2, 13, 0, 3, 5, 12, 6, 0, 0, 3, 15, 0, 14, 14, 18, 13, 6, 5, 18, 0, 11, 13, 15, 15, 13, 11, 1, 1, 5, 16, 18, 13, 11, 3, 1, 8, 1, 6, 2, 8, 13, 0, 12, 9, 11, 10, 1, 5, 3, 11, 15, 16, 6, 12, 7, 9, 13, 8, 18, 6, 16, 12, 5, 11, 12, 8, 8, 12, 18, 5, 15, 16, 17, 18, 3, 4, 7, 6, 5, 5, 3, 16, 14, 16, 16, 3, 3, 19, 9, 10, 2, 14, 9, 11, 16, 19, 17, 4, 11, 2, 2, 10, 7, 4, 9, 14, 4, 19, 17, 19, 2, 19, 2, 4, 7, 7, 4, 10, 14, 10, 10, 17, 17]"
PPO-GNN (Dein Modell),6,6765,-879.8156568413428,0.0,20,0,78951.0,529458.0,0.97831976,-1.4124961,123,"[0, 11, 16, 1, 18, 15, 11, 14, 2, 2, 5, 4, 1, 19, 11, 0, 12, 5, 0, 3, 13, 8, 5, 16, 12, 15, 13, 14, 12, 18, 2, 4, 9, 8, 3, 12, 17, 1, 12, 8, 0, 15, 2, 18, 3, 13, 6, 8, 1, 17, 5, 8, 1, 15, 5, 18, 7, 19, 19, 9, 15, 12, 5, 5, 3, 18, 11, 0, 6, 2, 11, 9, 14, 6, 2, 14, 16, 18, 3, 0, 3, 7, 7, 6, 3, 7, 5, 14, 16, 2, 14, 16, 7, 13, 16, 11, 11, 4, 3, 6, 16, 6, 11, 4, 13, 9, 19, 13, 10, 4, 16, 13, 9, 17, 17, 19, 17, 10, 10, 10, 4, 10, 10]"
PPO-GNN (Dein Modell),7,6927,-882.7310967521382,0.0,20,0,82191.0,551166.0,0.9898946,-1.4702675,123,"[8, 8, 10, 12, 8, 8, 7, 5, 4, 15, 8, 10, 4, 15, 11, 13, 19, 13, 4, 11, 16, 16, 5, 7, 14, 12, 18, 16, 6, 5, 10, 1, 13, 18, 5, 5, 5, 19, 5, 9, 12, 16, 18, 13, 15, 19, 9, 5, 1, 11, 4, 10, 15, 9, 7, 13, 3, 0, 1, 18, 16, 7, 1, 12, 0, 15, 17, 4, 14, 19, 7, 12, 11, 11, 6, 1, 2, 12, 19, 6, 0, 11, 18, 18, 14, 11, 6, 10, 9, 3, 3, 2, 17, 0, 17, 10, 2, 13, 3, 16, 2, 17, 0, 2, 6, 2, 6, 4, 14, 0, 17, 3, 2, 13, 14, 3, 16, 11, 9, 16, 3, 3, 14]"
PPO-GNN (Dein Modell),8,6833,-898.4982332128286,0.0,20,0,80311.0,538570.0,0.9811698,-1.4367458,123,"[12, 6, 3, 0, 19, 7, 15, 6, 6, 0, 8, 13, 5, 6, 8, 1, 0, 0, 6, 2, 5, 18, 15, 0, 5, 8, 16, 2, 5, 6, 18, 18, 5, 8, 0, 16, 3, 13, 5, 19, 18, 17, 3, 8, 15, 2, 4, 11, 13, 18, 5, 19, 2, 3, 5, 3, 12, 13, 18, 2, 16, 16, 19, 19, 4, 1, 17, 14, 4, 12, 16, 10, 10, 2, 15, 11, 15, 12, 7, 10, 11, 4, 1, 10, 13, 12, 2, 3, 13, 13, 11, 11, 12, 11, 17, 16, 16, 9, 1, 4, 14, 3, 11, 3, 16, 7, 14, 17, 1, 10, 9, 4, 11, 10, 14, 7, 17, 7, 14, 14, 9, 9, 9]"
PPO-GNN (Dein Modell),9,6809,-1003.3854793579585,0.0,20,0,79831.0,535354.0,0.9731238,-1.4281871,123,"[13, 12, 12, 12, 1, 11, 19, 9, 11, 15, 2, 15, 14, 8, 13, 16, 19, 8, 1, 8, 16, 7, 0, 7, 19, 7, 15, 14, 19, 13, 1, 14, 11, 8, 17, 6, 15, 11, 8, 14, 4, 11, 9, 0, 5, 12, 18, 13, 2, 18, 10, 5, 16, 4, 5, 6, 6, 0, 7, 2, 17, 7, 0, 5, 9, 18, 5, 4, 0, 0, 3, 5, 11, 13, 5, 15, 3, 12, 10, 13, 9, 19, 6, 12, 16, 10, 1, 2, 9, 5, 2, 6, 13, 1, 6, 2, 3, 3, 3, 14, 14, 18, 2, 11, 18, 18, 10, 11, 16, 3, 16, 3, 10, 16, 16, 3, 10, 4, 17, 17, 4, 4, 17]"
PPO-GNN (Dein Modell),10,6860,-871.9126745931244,0.0,20,0,80851.0,542188.0,0.9675413,-1.4463743,123,"[8, 3, 16, 18, 11, 4, 10, 11, 6, 16, 6, 4, 18, 4, 5, 8, 1, 0, 0, 1, 15, 1, 2, 13, 18, 8, 5, 5, 11, 2, 11, 5, 10, 11, 2, 16, 8, 17, 8, 3, 9, 16, 15, 5, 10, 18, 5, 19, 6, 5, 15, 19, 15, 12, 18, 18, 0, 1, 14, 13, 5, 10, 11, 14, 11, 6, 2, 4, 11, 12, 15, 14, 6, 0, 3, 4, 17, 2, 6, 2, 17, 4, 10, 12, 12, 2, 9, 7, 3, 14, 13, 13, 3, 16, 1, 9, 0, 14, 12, 13, 0, 19, 7, 10, 12, 17, 14, 7, 9, 19, 17, 13, 3, 16, 16, 13, 7, 3, 16, 7, 19, 9, 3]"
