Heuristic,Is_PPO_GNN,Makespan_Mean,Makespan_Std,Makespan_Min,Makespan_Max,Makespan_Median,Makespan_Rank,Deadline_Ratio_Mean,Deadline_Ratio_Std,Deadline_Rank,Timeliness_Mean,Timeliness_Std,Timeliness_Rank,Utilization_Mean,Utilization_Std,Tardiness_Mean,Tardiness_Std,Reward_Mean,Reward_Std,Overall_Score,Overall_Rank
EDD,False,6639.0,0.0,6639,6639,6639.0,1,0.0,0.0,6,-1.3675627,1.1920929e-07,1,0.9873473,1.7881393e-07,76431.0,0.0,-386.8968688416541,0.8132574650907288,8.5,1
Priority,False,6668.0,0.0,6668,6668,6668.0,2,0.0,0.0,7,-1.3779045,1.1920929e-07,2,0.9834035,1.7881393e-07,77011.0,0.0,-426.8364593821013,4.5750979526713,7.5,2
LPT,False,6677.0,0.0,6677,6677,6677.0,3,0.0,0.0,5,-1.3811138,1.1920929e-07,3,0.9860215,1.1920929e-07,77191.0,0.0,-848.4468725533059,4.034433634681541,7.4,3
LIFO,False,6704.0,0.0,6704,6704,6704.0,4,0.0,0.0,3,-1.3907427,1.1920929e-07,4,0.9896083,1.1920929e-07,77731.0,0.0,-466.7889377890827,0.3847750140923467,7.300000000000001,4
FIFO,False,6705.0,0.0,6705,6705,6705.0,5,0.0,0.0,2,-1.3910993,1.1920929e-07,5,0.98508584,5.9604645e-08,77751.0,0.0,-500.95693959701765,13.0738280363627,6.8999999999999995,5
WSPT,False,6707.0,0.0,6707,6707,6707.0,6,0.0,0.0,9,-1.3918121,1.1920929e-07,6,0.9834998,0.0,77791.0,0.0,-588.1540813987933,1.9936775215849551,4.1,8
SPT,False,6773.0,0.0,6773,6773,6773.0,7,0.0,0.0,4,-1.4153488,1.1920929e-07,7,0.9661891,1.7881393e-07,79111.0,0.0,-697.3362819901447,3.035516037160351,4.8999999999999995,6
Critical Ratio,False,6832.0,0.0,6832,6832,6832.0,8,0.0,0.0,8,-1.4363893,1.1920929e-07,8,0.98609495,1.1920929e-07,80291.0,0.0,-895.7016811089319,1.9936773842304947,3.0,9
PPO-GNN,True,6847.1,49.61743645131216,6752,6927,6850.5,9,0.0,0.0,1,-1.441774,0.017694313,9,0.9762788,0.0094321,80593.0,992.34875,-946.6015019019854,107.59735356785158,4.4,7
Random,False,6849.05,51.31907540086824,6761,6920,6857.5,10,0.0,0.0,10,-1.4424694,0.018301114,10,0.9817085,0.0071232026,80632.0,1026.3813,-1098.0790136962946,205.36353662399253,1.0,10
