algorithm,makespan,total_actions,completed_jobs,met_deadlines,deadline_ratio,total_tardiness,avg_tardiness,total_earliness,avg_earliness,deadline_violations,timeliness_score,high_priority_ratio,priority_weighted_avg_completion,machine_utilization,machine_balance,efficiency_ratio,avg_flowtime,run
PPO_Agent,6912.0,123,20,0,0.0,81891.0,4094.55,0.0,0.0,20,0.0,0.0,6912.0,0.9813850308641975,0.98150177491072,0.49537037037037035,6912.0,1
PPO_Agent,6803.0,123,20,0,0.0,79711.0,3985.55,0.0,0.0,20,0.0,0.0,6803.0,0.9774609241021118,0.9756399417520472,0.5033073643980597,6803.0,2
PPO_Agent,6873.0,123,20,0,0.0,81111.0,4055.55,0.0,0.0,20,0.0,0.0,6873.0,0.9763810078083321,0.980670108602849,0.4981812891022843,6873.0,3
PPO_Agent,6806.0,123,20,0,0.0,79771.0,3988.55,0.0,0.0,20,0.0,0.0,6806.0,0.9824174747771575,0.9819221693153477,0.5030855127828386,6806.0,4
PPO_Agent,6909.0,123,20,0,0.0,81831.0,4091.55,0.0,0.0,20,0.0,0.0,6909.0,0.972933854392821,0.9687481841766823,0.4955854682298451,6909.0,5
PPO_Agent,6748.0,123,20,0,0.0,78611.0,3930.55,0.0,0.0,20,0.0,0.0,6748.0,0.9803892511361391,0.9838498124245211,0.5074096028452875,6748.0,6
PPO_Agent,6896.0,123,20,0,0.0,81571.0,4078.55,0.0,0.0,20,0.0,0.0,6896.0,0.9884474091260634,0.9899310044700915,0.4965197215777262,6896.0,7
PPO_Agent,6813.0,123,20,0,0.0,79911.0,3995.55,0.0,0.0,20,0.0,0.0,6813.0,0.9805763491364549,0.9792145565742675,0.5025686188169676,6813.0,8
PPO_Agent,6851.0,123,20,0,0.0,80671.0,4033.55,0.0,0.0,20,0.0,0.0,6851.0,0.9447282635138423,0.9383149268561981,0.4997810538607503,6851.0,9
PPO_Agent,6811.0,123,20,0,0.0,79871.0,3993.55,0.0,0.0,20,0.0,0.0,6811.0,0.9624626829148926,0.9540050514372895,0.5027161943914257,6811.0,10
FIFO,6705.0,123,20,0,0.0,77751.0,3887.55,0.0,0.0,20,0.0,0.0,6705.0,0.9850857568978374,0.9890446021307147,0.5106636838180463,6705.0,1
FIFO,6705.0,123,20,0,0.0,77751.0,3887.55,0.0,0.0,20,0.0,0.0,6705.0,0.9850857568978374,0.9890446021307147,0.5106636838180463,6705.0,2
FIFO,6705.0,123,20,0,0.0,77751.0,3887.55,0.0,0.0,20,0.0,0.0,6705.0,0.9850857568978374,0.9890446021307147,0.5106636838180463,6705.0,3
FIFO,6705.0,123,20,0,0.0,77751.0,3887.55,0.0,0.0,20,0.0,0.0,6705.0,0.9850857568978374,0.9890446021307147,0.5106636838180463,6705.0,4
FIFO,6705.0,123,20,0,0.0,77751.0,3887.55,0.0,0.0,20,0.0,0.0,6705.0,0.9850857568978^374,0.9890446021307147,0.5106636838180463,6705.0,5
